Year,Month,Month_Number,Division,Region,Revenue,COGS,Gross_Profit,Marketing,Salaries,Logistics,Other_OpEx,Total_OpEx,EBITDA
2024,January,1,Beverages,Lagos,36960,17741,19219,3326,2957,1848,1109,9240,9979
2024,February,2,Beverages,Lagos,37800,18144,19656,3402,3024,1890,1134,9450,10206
2024,March,3,Beverages,Lagos,40740,19555,21185,3667,3259,2037,1222,10185,11000
2024,April,4,Beverages,Lagos,42000,20160,21840,3780,3360,2100,1260,10500,11340
2024,May,5,Beverages,Lagos,44100,21168,22932,3969,3528,2205,1323,11025,11907
2024,June,6,Beverages,Lagos,45360,21773,23587,4082,3629,2268,1361,11340,12247
2024,July,7,Beverages,Lagos,39900,19152,20748,3591,3192,1995,1197,9975,10773
2024,August,8,Beverages,Lagos,38640,18547,20093,3478,3091,1932,1159,9660,10433
2024,September,9,Beverages,Lagos,41160,19757,21403,3704,3293,2058,1235,10290,11113
2024,October,10,Beverages,Lagos,46200,22176,24024,4158,3696,2310,1386,11550,12474
2024,November,11,Beverages,Lagos,48300,23184,25116,4347,3864,2415,1449,12075,13041
2024,December,12,Beverages,Lagos,50400,24192,26208,4536,4032,2520,1512,12600,13608
2024,January,1,Beverages,Abuja,24640,11827,12813,2218,1971,1232,739,6160,6653
2024,February,2,Beverages,Abuja,25200,12096,13104,2268,2016,1260,756,6300,6804
2024,March,3,Beverages,Abuja,27160,13037,14123,2444,2173,1358,815,6790,7333
2024,April,4,Beverages,Abuja,28000,13440,14560,2520,2240,1400,840,7000,7560
2024,May,5,Beverages,Abuja,29400,14112,15288,2646,2352,1470,882,7350,7938
2024,June,6,Beverages,Abuja,30240,14515,15725,2722,2419,1512,907,7560,8165
2024,July,7,Beverages,Abuja,26600,12768,13832,2394,2128,1330,798,6650,7182
2024,August,8,Beverages,Abuja,25760,12365,13395,2318,2061,1288,773,6440,6955
2024,September,9,Beverages,Abuja,27440,13171,14269,2470,2195,1372,823,6860,7409
2024,October,10,Beverages,Abuja,30800,14784,16016,2772,2464,1540,924,7700,8316
2024,November,11,Beverages,Abuja,32200,15456,16744,2898,2576,1610,966,8050,8694
2024,December,12,Beverages,Abuja,33600,16128,17472,3024,2688,1680,1008,8400,9072
2024,January,1,Beverages,Rivers,19360,9293,10067,1742,1549,968,581,4840,5227
2024,February,2,Beverages,Rivers,19800,9504,10296,1782,1584,990,594,4950,5346
2024,March,3,Beverages,Rivers,21340,10243,11097,1921,1707,1067,640,5335,5762
2024,April,4,Beverages,Rivers,22000,10560,11440,1980,1760,1100,660,5500,5940
2024,May,5,Beverages,Rivers,23100,11088,12012,2079,1848,1155,693,5775,6237
2024,June,6,Beverages,Rivers,23760,11405,12355,2138,1901,1188,713,5940,6415
2024,July,7,Beverages,Rivers,20900,10032,10868,1881,1672,1045,627,5225,5643
2024,August,8,Beverages,Rivers,20240,9715,10525,1822,1619,1012,607,5060,5465
2024,September,9,Beverages,Rivers,21560,10349,11211,1940,1725,1078,647,5390,5821
2024,October,10,Beverages,Rivers,24200,11616,12584,2178,1936,1210,726,6050,6534
2024,November,11,Beverages,Rivers,25300,12144,13156,2277,2024,1265,759,6325,6831
2024,December,12,Beverages,Rivers,26400,12672,13728,2376,2112,1320,792,6600,7128
2024,January,1,Beverages,Kano,15840,7603,8237,1426,1267,792,475,3960,4277
2024,February,2,Beverages,Kano,16200,7776,8424,1458,1296,810,486,4050,4374
2024,March,3,Beverages,Kano,17460,8381,9079,1571,1397,873,524,4365,4714
2024,April,4,Beverages,Kano,18000,8640,9360,1620,1440,900,540,4500,4860
2024,May,5,Beverages,Kano,18900,9072,9828,1701,1512,945,567,4725,5103
2024,June,6,Beverages,Kano,19440,9331,10109,1750,1555,972,583,4860,5249
2024,July,7,Beverages,Kano,17100,8208,8892,1539,1368,855,513,4275,4617
2024,August,8,Beverages,Kano,16560,7949,8611,1490,1325,828,497,4140,4471
2024,September,9,Beverages,Kano,17640,8467,9173,1588,1411,882,529,4410,4763
2024,October,10,Beverages,Kano,19800,9504,10296,1782,1584,990,594,4950,5346
2024,November,11,Beverages,Kano,20700,9936,10764,1863,1656,1035,621,5175,5589
2024,December,12,Beverages,Kano,21600,10368,11232,1944,1728,1080,648,5400,5832
2024,January,1,Beverages,International,30800,14784,16016,2772,2464,1540,924,7700,8316
2024,February,2,Beverages,International,31500,15120,16380,2835,2520,1575,945,7875,8505
2024,March,3,Beverages,International,33950,16296,17654,3056,2716,1698,1018,8488,9166
2024,April,4,Beverages,International,35000,16800,18200,3150,2800,1750,1050,8750,9450
2024,May,5,Beverages,International,36750,17640,19110,3308,2940,1838,1102,9188,9922
2024,June,6,Beverages,International,37800,18144,19656,3402,3024,1890,1134,9450,10206
2024,July,7,Beverages,International,33250,15960,17290,2992,2660,1662,998,8312,8978
2024,August,8,Beverages,International,32200,15456,16744,2898,2576,1610,966,8050,8694
2024,September,9,Beverages,International,34300,16464,17836,3087,2744,1715,1029,8575,9261
2024,October,10,Beverages,International,38500,18480,20020,3465,3080,1925,1155,9625,10395
2024,November,11,Beverages,International,40250,19320,20930,3622,3220,2012,1208,10062,10868
2024,December,12,Beverages,International,42000,20160,21840,3780,3360,2100,1260,10500,11340
2024,January,1,Personal Care,Lagos,27280,11458,15822,3274,2455,1091,818,7638,8184
2024,February,2,Personal Care,Lagos,27900,11718,16182,3348,2511,1116,837,7812,8370
2024,March,3,Personal Care,Lagos,30070,12629,17441,3608,2706,1203,902,8419,9022
2024,April,4,Personal Care,Lagos,31000,13020,17980,3720,2790,1240,930,8680,9300
2024,May,5,Personal Care,Lagos,32550,13671,18879,3906,2930,1302,976,9114,9765
2024,June,6,Personal Care,Lagos,33480,14062,19418,4018,3013,1339,1004,9374,10044
2024,July,7,Personal Care,Lagos,29450,12369,17081,3534,2650,1178,884,8246,8835
2024,August,8,Personal Care,Lagos,28520,11978,16542,3422,2567,1141,856,7986,8556
2024,September,9,Personal Care,Lagos,30380,12760,17620,3646,2734,1215,911,8506,9114
2024,October,10,Personal Care,Lagos,34100,14322,19778,4092,3069,1364,1023,9548,10230
2024,November,11,Personal Care,Lagos,35650,14973,20677,4278,3208,1426,1070,9982,10695
2024,December,12,Personal Care,Lagos,37200,15624,21576,4464,3348,1488,1116,10416,11160
2024,January,1,Personal Care,Abuja,16720,7022,9698,2006,1505,669,502,4682,5016
2024,February,2,Personal Care,Abuja,17100,7182,9918,2052,1539,684,513,4788,5130
2024,March,3,Personal Care,Abuja,18430,7741,10689,2212,1659,737,553,5161,5528
2024,April,4,Personal Care,Abuja,19000,7980,11020,2280,1710,760,570,5320,5700
2024,May,5,Personal Care,Abuja,19950,8379,11571,2394,1796,798,598,5586,5985
2024,June,6,Personal Care,Abuja,20520,8618,11902,2462,1847,821,616,5746,6156
2024,July,7,Personal Care,Abuja,18050,7581,10469,2166,1624,722,542,5054,5415
2024,August,8,Personal Care,Abuja,17480,7342,10138,2098,1573,699,524,4894,5244
2024,September,9,Personal Care,Abuja,18620,7820,10800,2234,1676,745,559,5214,5586
2024,October,10,Personal Care,Abuja,20900,8778,12122,2508,1881,836,627,5852,6270
2024,November,11,Personal Care,Abuja,21850,9177,12673,2622,1966,874,656,6118,6555
2024,December,12,Personal Care,Abuja,22800,9576,13224,2736,2052,912,684,6384,6840
2024,January,1,Personal Care,Rivers,13200,5544,7656,1584,1188,528,396,3696,3960
2024,February,2,Personal Care,Rivers,13500,5670,7830,1620,1215,540,405,3780,4050
2024,March,3,Personal Care,Rivers,14550,6111,8439,1746,1310,582,436,4074,4365
