Year,Month,Month_Number,Division,Region,Revenue,COGS,Gross_Profit,Marketing,Salaries,Logistics,Other_OpEx,Total_OpEx,EBITDA
2024,January,1,Beverages,Lagos,36001,17626,18375,3086,2870,1818,1106,8880,9495
2024,January,1,Beverages,Abuja,24027,11764,12263,2247,1894,1235,708,6084,6179
2024,January,1,Beverages,Rivers,18621,9117,9504,1677,1462,938,569,4646,4858
2024,January,1,Beverages,Kano,15386,7533,7853,1346,1250,818,453,3867,3986
2024,January,1,Beverages,International,30150,14761,15389,2767,2413,1513,938,7631,7758
2024,January,1,Personal Care,Lagos,26332,11281,15051,3031,2336,1124,803,7294,7757
2024,January,1,Personal Care,Abuja,16368,7012,9356,2009,1491,706,492,4698,4658
2024,January,1,Personal Care,Rivers,12824,5494,7330,1590,1174,548,390,3702,3628
2024,January,1,Personal Care,Kano,10306,4415,5891,1181,922,419,304,2826,3065
2024,January,1,Personal Care,International,20322,8706,11616,2341,1823,852,611,5627,5989
2024,January,1,Home Care,Lagos,20407,9159,11248,1585,1829,1317,624,5355,5893
2024,January,1,Home Care,Abuja,11990,5381,6609,928,1105,723,361,3117,3492
2024,January,1,Home Care,Rivers,9527,4276,5251,773,869,601,295,2538,2713
2024,January,1,Home Care,Kano,8176,3669,4507,636,723,500,244,2103,2404
2024,January,1,Home Care,International,14385,6456,7929,1202,1337,879,440,3858,4071
2024,January,1,Packaged Foods,Lagos,31484,16378,15106,2295,2538,1915,940,7688,7418
2024,January,1,Packaged Foods,Abuja,18814,9787,9027,1286,1528,1210,567,4591,4436
2024,January,1,Packaged Foods,Rivers,14389,7485,6904,1057,1163,861,424,3505,3399
2024,January,1,Packaged Foods,Kano,11810,6144,5666,837,971,729,349,2886,2780
2024,January,1,Packaged Foods,International,23816,12389,11427,1750,1928,1541,737,5956,5471
