Year,Month,Month_Number,Division,Region,Revenue,COGS,Gross_Profit,Marketing,Salaries,Logistics,Other_OpEx,Total_OpEx,EBITDA
2024,February,2,Beverages,Lagos,35756,17335,18421,3289,2920,1839,1068,9116,9305
2024,February,2,Beverages,Abuja,24294,11778,12516,2102,1955,1240,756,6053,6463
2024,February,2,Beverages,Rivers,19222,9319,9903,1689,1553,957,597,4796,5107
2024,February,2,Beverages,Kano,15725,7623,8102,1387,1281,814,467,3949,4153
2024,February,2,Beverages,International,30478,14776,15702,2754,2503,1566,896,7719,7983
2024,February,2,Personal Care,Lagos,26643,11302,15341,3044,2484,1129,823,7480,7861
2024,February,2,Personal Care,Abuja,16321,6923,9398,1872,1517,696,482,4567,4831
2024,February,2,Personal Care,Rivers,12955,5496,7459,1488,1196,544,384,3612,3847
2024,February,2,Personal Care,Kano,10360,4395,5965,1249,929,439,312,2929,3036
2024,February,2,Personal Care,International,20557,8720,11837,2477,1894,821,616,5808,6029
2024,February,2,Home Care,Lagos,21044,9352,11692,1709,1906,1296,623,5534,6158
2024,February,2,Home Care,Abuja,11996,5331,6665,944,1096,720,357,3117,3548
2024,February,2,Home Care,Rivers,9382,4169,5213,760,839,598,290,2487,2726
2024,February,2,Home Care,Kano,8102,3601,4501,631,744,486,240,2101,2400
2024,February,2,Home Care,International,14880,6613,8267,1199,1350,938,459,3946,4321
2024,February,2,Packaged Foods,Lagos,31671,16314,15357,2128,2549,1935,958,7570,7787
2024,February,2,Packaged Foods,Abuja,19139,9858,9281,1363,1591,1135,577,4666,4615
2024,February,2,Packaged Foods,Rivers,14617,7529,7088,1060,1163,874,442,3539,3549
2024,February,2,Packaged Foods,Kano,12068,6216,5852,826,961,770,364,2921,2931
2024,February,2,Packaged Foods,International,24454,12596,11858,1720,1923,1571,756,5970,5888
