Year,Month,Month_Number,Division,Region,Revenue,COGS,Gross_Profit,Marketing,Salaries,Logistics,Other_OpEx,Total_OpEx,EBITDA
2024,March,3,Beverages,Lagos,40900,19632,21268,3838,3373,2014,1238,10463,10805
2024,March,3,Beverages,Abuja,26657,12795,13862,2375,2097,1338,831,6641,7221
2024,March,3,Beverages,Rivers,20978,10069,10909,1942,1690,1057,653,5342,5567
2024,March,3,Beverages,Kano,17542,8420,9122,1588,1436,863,525,4412,4710
2024,March,3,Beverages,International,34083,16360,17723,3092,2761,1768,1006,8627,9096
2024,March,3,Personal Care,Lagos,29844,12534,17310,3582,2770,1175,929,8456,8854
2024,March,3,Personal Care,Abuja,18016,7567,10449,2094,1647,743,537,5021,5428
2024,March,3,Personal Care,Rivers,14240,5981,8259,1775,1275,583,435,4068,4191
2024,March,3,Personal Care,Kano,11496,4828,6668,1391,1046,485,342,3264,3404
2024,March,3,Personal Care,International,23197,9743,13454,2711,2096,956,695,6458,6996
2024,March,3,Home Care,Lagos,22920,10085,12835,1880,2031,1391,715,6017,6818
2024,March,3,Home Care,Abuja,13644,6003,7641,1045,1219,814,424,3502,4139
2024,March,3,Home Care,Rivers,10684,4701,5983,887,964,631,330,2812,3171
2024,March,3,Home Care,Kano,9179,4039,5140,743,859,567,270,2439,2701
2024,March,3,Home Care,International,16480,7251,9229,1292,1513,1043,488,4336,4893
2024,March,3,Packaged Foods,Lagos,35121,17912,17209,2362,2847,2096,1071,8376,8833
2024,March,3,Packaged Foods,Abuja,21265,10845,10420,1444,1732,1268,644,5088,5332
2024,March,3,Packaged Foods,Rivers,16524,8427,8097,1197,1303,999,494,3993,4104
2024,March,3,Packaged Foods,Kano,13244,6754,6490,952,1079,790,407,3228,3262
2024,March,3,Packaged Foods,International,26930,13734,13196,1871,2113,1578,835,6397,6799
