Year,Month,Month_Number,Division,Region,Revenue,COGS,Gross_Profit,Marketing,Salaries,Logistics,Other_OpEx,Total_OpEx,EBITDA
2024,April,4,Beverages,Lagos,42934,20402,22532,3882,3538,2173,1274,10867,11665
2024,April,4,Beverages,Abuja,27964,13288,14676,2469,2313,1442,865,7089,7587
2024,April,4,Beverages,Rivers,22486,10685,11801,1965,1790,1090,693,5538,6263
2024,April,4,Beverages,Kano,18390,8739,9651,1640,1497,896,571,4604,5047
2024,April,4,Beverages,International,35737,16982,18755,3369,2941,1856,1052,9218,9537
2024,April,4,Personal Care,Lagos,31532,13111,18421,3720,2940,1301,976,8937,9484
2024,April,4,Personal Care,Abuja,19369,8054,11315,2270,1791,751,600,5412,5903
2024,April,4,Personal Care,Rivers,15313,6367,8946,1787,1418,613,459,4277,4669
2024,April,4,Personal Care,Kano,12227,5084,7143,1427,1080,478,367,3352,3791
2024,April,4,Personal Care,International,24505,10189,14316,3078,2198,997,738,7011,7305
2024,April,4,Home Care,Lagos,24590,10711,13879,1974,2294,1432,766,6466,7413
2024,April,4,Home Care,Abuja,14004,6100,7904,1172,1255,815,423,3665,4239
2024,April,4,Home Care,Rivers,11186,4873,6313,878,1023,675,337,2913,3400
2024,April,4,Home Care,Kano,9617,4189,5428,750,885,554,299,2488,2940
2024,April,4,Home Care,International,17190,7488,9702,1405,1585,1052,517,4559,5143
2024,April,4,Packaged Foods,Lagos,36888,18625,18263,2625,2950,2187,1141,8903,9360
2024,April,4,Packaged Foods,Abuja,22366,11293,11073,1534,1787,1338,674,5333,5740
2024,April,4,Packaged Foods,Rivers,17065,8616,8449,1150,1372,1069,523,4114,4335
2024,April,4,Packaged Foods,Kano,14311,7226,7085,1013,1143,866,421,3443,3642
2024,April,4,Packaged Foods,International,28099,14187,13912,1953,2281,1717,850,6801,7111
