Year,Month,Month_Number,Division,Region,Revenue,COGS,Gross_Profit,Marketing,Salaries,Logistics,Other_OpEx,Total_OpEx,EBITDA
2024,May,5,Beverages,Lagos,44904,21338,23566,3926,3622,2336,1385,11269,12297
2024,May,5,Beverages,Abuja,29691,14109,15582,2561,2401,1509,891,7362,8220
2024,May,5,Beverages,Rivers,23787,11304,12483,2195,1942,1166,708,6011,6472
2024,May,5,Beverages,Kano,19003,9030,9973,1667,1533,984,561,4745,5228
2024,May,5,Beverages,International,37389,17767,19622,3409,2966,1911,1133,9419,10203
2024,May,5,Personal Care,Lagos,32946,13699,19247,4015,2907,1354,1014,9290,9957
2024,May,5,Personal Care,Abuja,20109,8361,11748,2395,1793,841,610,5639,6109
2024,May,5,Personal Care,Rivers,15848,6590,9258,1854,1470,635,489,4448,4810
2024,May,5,Personal Care,Kano,12917,5371,7546,1626,1181,540,400,3747,3799
2024,May,5,Personal Care,International,25791,10724,15067,3163,2345,1067,784,7359,7708
2024,May,5,Home Care,Lagos,26010,11330,14680,2131,2361,1535,776,6803,7877
2024,May,5,Home Care,Abuja,15056,6558,8498,1236,1370,918,450,3974,4524
2024,May,5,Home Care,Rivers,11632,5067,6565,911,1043,690,353,2997,3568
2024,May,5,Home Care,Kano,10064,4384,5680,783,925,618,297,2623,3057
2024,May,5,Home Care,International,18157,7909,10248,1459,1642,1066,548,4715,5533
2024,May,5,Packaged Foods,Lagos,40108,20251,19857,2831,3278,2495,1234,9838,10019
2024,May,5,Packaged Foods,Abuja,23477,11854,11623,1562,1880,1447,726,5615,6008
2024,May,5,Packaged Foods,Rivers,18455,9318,9137,1281,1513,1117,563,4474,4663
2024,May,5,Packaged Foods,Kano,14868,7507,7361,1012,1197,859,446,3514,3847
2024,May,5,Packaged Foods,International,30149,15222,14927,2090,2388,1812,893,7183,7744
