Year,Month,Month_Number,Division,Region,Revenue,COGS,Gross_Profit,Marketing,Salaries,Logistics,Other_OpEx,Total_OpEx,EBITDA
2024,June,6,Beverages,Lagos,46892,22508,24384,4021,3765,2393,1381,11560,12824
2024,June,6,Beverages,Abuja,31281,15015,16266,2713,2522,1524,941,7700,8566
2024,June,6,Beverages,Rivers,24261,11645,12616,2146,1991,1218,746,6101,6515
2024,June,6,Beverages,Kano,20223,9707,10516,1775,1593,983,614,4965,5551
2024,June,6,Beverages,International,39518,18969,20549,3503,3222,2056,1208,9989,10560
2024,June,6,Personal Care,Lagos,34747,14594,20153,4357,3102,1351,1031,9841,10312
2024,June,6,Personal Care,Abuja,20899,8778,12121,2550,1907,827,641,5925,6196
2024,June,6,Personal Care,Rivers,16820,7064,9756,1951,1539,698,498,4686,5070
2024,June,6,Personal Care,Kano,13477,5660,7817,1692,1197,524,404,3817,4000
2024,June,6,Personal Care,International,26840,11273,15567,3368,2425,1110,793,7696,7871
2024,June,6,Home Care,Lagos,26850,11814,15036,2175,2383,1675,830,7063,7973
2024,June,6,Home Care,Abuja,15621,6873,8748,1202,1461,975,469,4107,4641
2024,June,6,Home Care,Rivers,12210,5372,6838,964,1110,733,378,3185,3653
2024,June,6,Home Care,Kano,10670,4695,5975,820,996,658,330,2804,3171
2024,June,6,Home Care,International,19028,8372,10656,1512,1754,1207,569,5042,5614
2024,June,6,Packaged Foods,Lagos,41539,21185,20354,2919,3353,2515,1276,10063,10291
2024,June,6,Packaged Foods,Abuja,24303,12395,11908,1761,2002,1426,753,5942,5966
2024,June,6,Packaged Foods,Rivers,18765,9570,9195,1309,1526,1131,553,4519,4676
2024,June,6,Packaged Foods,Kano,15738,8026,7712,1067,1250,984,472,3773,3939
2024,June,6,Packaged Foods,International,31503,16067,15436,2250,2512,1835,980,7577,7859
