Year,Month,Month_Number,Division,Region,Revenue,COGS,Gross_Profit,Marketing,Salaries,Logistics,Other_OpEx,Total_OpEx,EBITDA
2024,August,8,Beverages,Lagos,31437,17806,13631,2945,2589,1811,934,8279,5352
2024,August,8,Beverages,Abuja,20745,11750,8995,1914,1683,1219,615,5431,3564
2024,August,8,Beverages,Rivers,16487,9338,7149,1513,1367,987,499,4366,2783
2024,August,8,Beverages,Kano,13245,7502,5743,1137,1066,781,395,3379,2364
2024,August,8,Beverages,International,25762,14592,11170,2426,2123,1553,801,6903,4267
2024,August,8,Personal Care,Lagos,23447,11620,11827,2862,2102,1078,721,6763,5064
2024,August,8,Personal Care,Abuja,14146,7011,7135,1723,1318,659,431,4131,3004
2024,August,8,Personal Care,Rivers,11223,5562,5661,1346,995,530,337,3208,2453
2024,August,8,Personal Care,Kano,8988,4454,4534,1117,809,438,269,2633,1901
2024,August,8,Personal Care,International,18124,8982,9142,2243,1652,865,543,5303,3839
2024,August,8,Home Care,Lagos,17790,9237,8553,1490,1608,1280,555,4933,3620
2024,August,8,Home Care,Abuja,10482,5442,5040,842,948,732,315,2837,2203
2024,August,8,Home Care,Rivers,8260,4289,3971,669,762,578,251,2260,1711
2024,August,8,Home Care,Kano,7170,3723,3447,570,659,498,223,1950,1497
2024,August,8,Home Care,International,12710,6599,6111,990,1132,917,386,3425,2686
2024,August,8,Packaged Foods,Lagos,27236,16391,10845,2000,2255,1951,806,7012,3833
2024,August,8,Packaged Foods,Abuja,16558,9965,6593,1159,1355,1191,495,4200,2393
2024,August,8,Packaged Foods,Rivers,12796,7701,5095,939,1018,924,385,3266,1829
2024,August,8,Packaged Foods,Kano,10565,6358,4207,740,873,784,316,2713,1494
2024,August,8,Packaged Foods,International,21047,12666,8381,1461,1744,1514,650,5369,3012
