Year,Month,Month_Number,Division,Region,Revenue,COGS,Gross_Profit,Marketing,Salaries,Logistics,Other_OpEx,Total_OpEx,EBITDA
2024,September,9,Beverages,Lagos,35167,18906,16261,3101,2856,2087,1065,9109,7152
2024,September,9,Beverages,Abuja,23350,12553,10797,2110,1869,1333,709,6021,4776
2024,September,9,Beverages,Rivers,18517,9955,8562,1637,1469,1071,563,4740,3822
2024,September,9,Beverages,Kano,15049,8090,6959,1392,1183,874,462,3911,3048
2024,September,9,Beverages,International,29774,16007,13767,2649,2429,1740,928,7746,6021
2024,September,9,Personal Care,Lagos,26123,12288,13835,2990,2375,1197,809,7371,6464
2024,September,9,Personal Care,Abuja,16193,7617,8576,1932,1474,734,497,4637,3939
2024,September,9,Personal Care,Rivers,12608,5931,6677,1536,1123,572,393,3624,3053
2024,September,9,Personal Care,Kano,10065,4735,5330,1231,923,472,311,2937,2393
2024,September,9,Personal Care,International,20445,9617,10828,2424,1838,948,629,5839,4989
2024,September,9,Home Care,Lagos,20453,10079,10374,1560,1812,1411,635,5418,4956
2024,September,9,Home Care,Abuja,11975,5901,6074,982,1084,788,366,3220,2854
2024,September,9,Home Care,Rivers,9374,4620,4754,746,862,662,276,2546,2208
2024,September,9,Home Care,Kano,8078,3981,4097,633,729,534,245,2141,1956
2024,September,9,Home Care,International,14356,7075,7281,1182,1279,943,445,3849,3432
2024,September,9,Packaged Foods,Lagos,31296,17876,13420,2134,2591,2067,946,7738,5682
2024,September,9,Packaged Foods,Abuja,18405,10513,7892,1257,1444,1289,571,4561,3331
2024,September,9,Packaged Foods,Rivers,14404,8228,6176,974,1160,969,439,3542,2634
2024,September,9,Packaged Foods,Kano,11848,6768,5080,823,943,833,353,2952,2128
2024,September,9,Packaged Foods,International,23517,13433,10084,1643,1871,1614,716,5844,4240
