Year,Month,Month_Number,Division,Region,Revenue,COGS,Gross_Profit,Marketing,Salaries,Logistics,Other_OpEx,Total_OpEx,EBITDA
2024,October,10,Beverages,Lagos,45008,22252,22756,3968,3740,2386,1345,11439,11317
2024,October,10,Beverages,Abuja,29626,14647,14979,2716,2429,1487,903,7535,7444
2024,October,10,Beverages,Rivers,23230,11485,11745,2175,1853,1246,708,5982,5763
2024,October,10,Beverages,Kano,18924,9356,9568,1726,1540,1005,581,4852,4716
2024,October,10,Beverages,International,37137,18361,18776,3455,3024,2011,1135,9625,9151
2024,October,10,Personal Care,Lagos,32548,14080,18468,3883,2973,1389,962,9207,9261
2024,October,10,Personal Care,Abuja,19941,8626,11315,2452,1778,807,606,5643,5672
2024,October,10,Personal Care,Rivers,16064,6949,9115,1934,1496,691,480,4601,4514
2024,October,10,Personal Care,Kano,12795,5535,7260,1533,1184,547,384,3648,3612
2024,October,10,Personal Care,International,25051,10837,14214,3145,2229,1091,775,7240,6974
2024,October,10,Home Care,Lagos,25514,11563,13951,2139,2384,1644,767,6934,7017
2024,October,10,Home Care,Abuja,14913,6759,8154,1135,1359,932,457,3883,4271
2024,October,10,Home Care,Rivers,11676,5292,6384,942,1082,761,346,3131,3253
2024,October,10,Home Care,Kano,9952,4510,5442,758,925,628,309,2620,2822
2024,October,10,Home Care,International,17802,8068,9734,1362,1649,1157,533,4701,5033
2024,October,10,Packaged Foods,Lagos,38965,20468,18497,2629,3232,2402,1180,9443,9054
2024,October,10,Packaged Foods,Abuja,22951,12056,10895,1669,1814,1434,702,5619,5276
2024,October,10,Packaged Foods,Rivers,18083,9499,8584,1322,1454,1159,537,4472,4112
2024,October,10,Packaged Foods,Kano,14746,7746,7000,991,1191,917,459,3558,3442
2024,October,10,Packaged Foods,International,29154,15315,13839,2014,2348,1902,902,7166,6673
