Year,Month,Month_Number,Division,Region,Revenue,COGS,Gross_Profit,Marketing,Salaries,Logistics,Other_OpEx,Total_OpEx,EBITDA
2024,November,11,Beverages,Lagos,49628,23345,26283,4549,4021,2573,1491,12634,13649
2024,November,11,Beverages,Abuja,33386,15705,17681,2912,2637,1712,1009,8270,9411
2024,November,11,Beverages,Rivers,26440,12437,14003,2413,2149,1259,815,6636,7367
2024,November,11,Beverages,Kano,21362,10049,11313,1851,1733,1022,657,5263,6050
2024,November,11,Beverages,International,41492,19518,21974,3628,3426,2032,1231,10317,11657
2024,November,11,Personal Care,Lagos,37522,15444,22078,4279,3483,1446,1112,10320,11758
2024,November,11,Personal Care,Abuja,22554,9283,13271,2618,2070,860,664,6212,7059
2024,November,11,Personal Care,Rivers,18096,7448,10648,2115,1628,699,534,4976,5672
2024,November,11,Personal Care,Kano,14456,5950,8506,1739,1333,574,445,4091,4415
2024,November,11,Personal Care,International,28715,11819,16896,3311,2611,1188,846,7956,8940
2024,November,11,Home Care,Lagos,28948,12482,16466,2401,2635,1721,901,7658,8808
2024,November,11,Home Care,Abuja,16523,7125,9398,1319,1493,1002,500,4314,5084
2024,November,11,Home Care,Rivers,13318,5743,7575,1020,1180,802,393,3395,4180
2024,November,11,Home Care,Kano,11285,4866,6419,915,1029,663,352,2959,3460
2024,November,11,Home Care,International,20351,8775,11576,1621,1861,1171,624,5277,6299
2024,November,11,Packaged Foods,Lagos,44720,22351,22369,3178,3671,2721,1332,10902,11467
2024,November,11,Packaged Foods,Abuja,26274,13132,13142,1789,2103,1562,792,6246,6896
2024,November,11,Packaged Foods,Rivers,20085,10038,10047,1396,1639,1185,596,4816,5231
2024,November,11,Packaged Foods,Kano,16956,8475,8481,1136,1397,975,501,4009,4472
2024,November,11,Packaged Foods,International,33728,16857,16871,2435,2734,2028,1026,8223,8648
