Year,Month,Month_Number,Division,Region,Revenue,COGS,Gross_Profit,Marketing,Salaries,Logistics,Other_OpEx,Total_OpEx,EBITDA
2024,December,12,Beverages,Lagos,54655,25447,29208,4733,4378,2730,1681,13522,15686
2024,December,12,Beverages,Abuja,37028,17240,19788,3406,3075,1839,1112,9432,10356
2024,December,12,Beverages,Rivers,28843,13429,15414,2521,2352,1385,854,7112,8302
2024,December,12,Beverages,Kano,23788,11076,12712,2113,1952,1179,734,5978,6734
2024,December,12,Beverages,International,46254,21536,24718,4360,3808,2300,1413,11881,12837
2024,December,12,Personal Care,Lagos,39972,16285,23687,5002,3705,1542,1188,11437,12250
2024,December,12,Personal Care,Abuja,25003,10186,14817,2943,2251,942,774,6910,7907
2024,December,12,Personal Care,Rivers,19659,8009,11650,2336,1749,783,579,5447,6203
2024,December,12,Personal Care,Kano,15812,6442,9370,1843,1430,614,475,4362,5008
2024,December,12,Personal Care,International,31601,12874,18727,3897,2884,1199,932,8912,9815
2024,December,12,Home Care,Lagos,31069,13260,17809,2515,2853,1798,950,8116,9693
2024,December,12,Home Care,Abuja,18304,7812,10492,1456,1641,1106,542,4745,5747
2024,December,12,Home Care,Rivers,14358,6128,8230,1124,1319,847,439,3729,4501
2024,December,12,Home Care,Kano,12257,5231,7026,970,1121,692,367,3150,3876
2024,December,12,Home Care,International,22043,9408,12635,1699,1975,1282,648,5604,7031
2024,December,12,Packaged Foods,Lagos,48755,24119,24636,3302,3911,2932,1477,11622,13014
2024,December,12,Packaged Foods,Abuja,29064,14378,14686,2097,2289,1772,857,7015,7671
2024,December,12,Packaged Foods,Rivers,21915,10841,11074,1599,1809,1303,667,5378,5696
2024,December,12,Packaged Foods,Kano,18427,9116,9311,1279,1455,1042,553,4329,4982
2024,December,12,Packaged Foods,International,36955,18282,18673,2617,3045,2264,1092,9018,9655
